,name,platform,publisher,genre,critic,sales_na,sales_pal,sales_jp,sales_ot,release
1099,Dishonored,X360,Bethesda Softworks,Shooter,N/A,1.06m,0.50m,0.01m,0.15m,16th Apr 13
3510,Rayman Legends,PS3,Ubisoft,Platform,N/A,0.14m,0.37m,N/A,0.09m,03rd Sep 13
1281,Tom Clancy's Rainbow Six 3,XB,Ubisoft,Shooter,N/A,0.91m,0.57m,N/A,0.07m,12th Nov 03
2901,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,Capcom,Fighting,7.9,0.22m,0.17m,0.30m,0.06m,06th Nov 01
2299,Sonic & SEGA All-Stars Racing,PS3,Sega,Racing,8.0,0.36m,0.44m,N/A,0.16m,23rd Feb 10
2816,Minecraft: Story Mode,XOne,Mojang,Adventure,N/A,0.46m,0.24m,N/A,0.07m,27th Oct 15
3307,Sengoku Basara: Samurai Heroes,PS3,Capcom,Action,6.1,0.17m,0.04m,0.40m,0.02m,12th Oct 10
2688,Mega Man,NES,Capcom,Platform,N/A,0.45m,0.08m,0.27m,0.01m,01st Dec 87
2714,Star Wars The Clone Wars: Republic Heroes,Wii,LucasArts,Action,4.8,0.43m,0.30m,N/A,0.07m,06th Oct 09
820,Sonic Unleashed,Wii,Sega,Platform,6.7,1.26m,0.68m,0.02m,0.22m,18th Nov 08
638,FIFA Soccer 09,PS3,Electronic Arts,Sports,8.6,0.49m,1.63m,0.04m,0.43m,14th Oct 08
832,Demon Attack,2600,Imagic,Shooter,N/A,1.99m,0.12m,N/A,0.02m,01st Jan 82
1256,Batman: Arkham Knight,XOne,Warner Bros. Interactive Entertainment,Action,N/A,0.97m,0.46m,N/A,0.14m,23rd Jun 15
1496,SimCity,PC,Electronic Arts,Simulation,N/A,0.48m,0.79m,N/A,0.11m,05th Mar 13
2674,Imagine: Rock Star,DS,Ubisoft,Simulation,N/A,0.40m,0.33m,N/A,0.09m,17th Jun 08
1561,Spider-Man: The Movie,GBA,Activision,Platform,7.9,0.92m,0.35m,0.01m,0.05m,16th Apr 02
2647,Harvest Moon: Tree of Tranquility,Wii,Natsume,Simulation,N/A,0.67m,0.03m,0.06m,0.05m,30th Sep 08
2461,Fire Emblem: The Sacred Stones,GBA,Nintendo,Strategy,8.4,0.42m,0.16m,0.30m,0.02m,23rd May 05
2790,NBA 2K7,PS2,2K Sports,Sports,8.2,0.65m,0.02m,N/A,0.11m,25th Sep 06
2418,Operation Flashpoint: Dragon Rising,PS3,Codemasters,Shooter,7.3,0.23m,0.46m,0.05m,0.17m,06th Oct 09
928,BioShock Infinite,X360,2K Games,Shooter,N/A,1.22m,0.55m,0.02m,0.18m,26th Mar 13
2599,Mario & Luigi: Paper Jam,3DS,Nintendo,Role-Playing,N/A,0.20m,0.32m,0.27m,0.04m,22nd Jan 16
3023,Super Trucks Racing,PS2,XS Games,Racing,N/A,0.35m,0.27m,N/A,0.09m,29th Oct 03
1352,Madden NFL 09,PS2,EA Sports,Sports,N/A,1.22m,0.00m,N/A,0.27m,12th Aug 08
644,WWE SmackDown vs. RAW 2007,PS2,THQ,Fighting,8.0,1.40m,0.88m,0.03m,0.26m,14th Nov 06
2549,Rocky,PS2,Ubisoft,Fighting,N/A,0.42m,0.33m,N/A,0.11m,18th Nov 02
1693,Combat,2600,Atari,Action,N/A,1.17m,0.07m,N/A,0.01m,01st Jan 77
3266,F-Zero GX,GC,Nintendo,Racing,8.4,0.41m,0.11m,0.12m,0.02m,26th Aug 03
2258,Brutal Legend,X360,Electronic Arts,Action,8.5,0.62m,0.26m,N/A,0.09m,13th Oct 09
481,The Elder Scrolls IV: Oblivion,PS3,Bethesda Softworks,Role-Playing,9.3,1.69m,0.86m,0.14m,0.44m,20th Mar 07
4,Pokémon Red / Green / Blue Version,GB,Nintendo,Role-Playing,9.4,11.27m,8.89m,10.22m,1.00m,30th Sep 98
3683,Tony Hawk's Pro Skater 4,GBA,Activision,Sports,N/A,0.41m,0.15m,N/A,0.01m,28th Oct 02
2971,Super Bomberman R,NS,Konami Digital Entertainment,Puzzle,5.4,0.22m,0.29m,0.17m,0.04m,03rd Mar 17
1934,Pilotwings 64,N64,Nintendo,Simulation,N/A,0.56m,0.24m,0.30m,0.02m,29th Sep 96
2937,Namco Museum Remix,Wii,Namco Bandai,Misc,N/A,0.68m,0.00m,N/A,0.05m,23rd Oct 07
3260,Dead or Alive 5,PS3,Tecmo Koei,Fighting,7.6,0.23m,0.15m,0.21m,0.07m,17th Feb 15
953,Who Wants to be a Millionaire,PC,Disney Interactive Studios,Misc,N/A,1.94m,0.00m,N/A,N/A,23rd Nov 99
3413,Viewtiful Joe,GC,Capcom,Action,9.4,0.38m,0.10m,0.12m,0.02m,07th Oct 03
572,WWE SmackDown! Here Comes the Pain,PS2,THQ,Fighting,N/A,1.32m,1.06m,0.04m,0.38m,27th Oct 03
3364,A Bug's Life,N64,Activision,Platform,6.1,0.49m,0.13m,N/A,0.01m,30th Apr 99
2735,Dragon's Dogma,X360,Capcom,Adventure,N/A,0.42m,0.24m,0.07m,0.06m,22nd May 12
69,Uncharted 4: A Thief's End,PS4,Sony Computer Entertainment,Action,9.2,4.36m,3.80m,0.20m,1.65m,10th May 16
631,Super Mario All-Stars: Limited Edition,Wii,Nintendo,Platform,7.2,1.04m,0.52m,0.92m,0.14m,12th Dec 10
98,Final Fantasy VIII,PS,Square EA,Role-Playing,9.4,2.28m,1.72m,3.63m,0.23m,07th Sep 99
3724,RalliSport Challenge,XB,Microsoft,Racing,N/A,0.39m,0.16m,N/A,0.02m,04th Mar 02
456,Tekken,PS,Namco,Fighting,8.3,0.95m,1.30m,0.77m,0.22m,08th Nov 95
3183,Unreal Tournament III,PS3,Midway Games,Shooter,8.6,0.33m,0.24m,N/A,0.10m,11th Dec 07
2783,Battle Stations,PS,Electronic Arts,Strategy,N/A,0.43m,0.29m,N/A,0.05m,31st Mar 97
366,Tony Hawk's Pro Skater 4,PS2,Activision,Sports,9.6,2.13m,1.18m,0.01m,0.35m,23rd Oct 02
3590,Silent Hill: Shattered Memories,PS2,Konami,Adventure,8.0,0.13m,0.22m,0.01m,0.23m,19th Jan 10
2683,Shaun White Snowboarding,X360,Ubisoft,Sports,6.2,0.48m,0.25m,0.00m,0.08m,16th Nov 08
2806,Perfect Dark Zero,X360,Microsoft,Shooter,8.1,0.66m,0.02m,0.03m,0.06m,17th Nov 05
3122,Top Spin 4,PS3,2K Sports,Sports,8.2,0.17m,0.40m,N/A,0.12m,15th Mar 11
3239,Freedom Wars,PSV,Sony Computer Entertainment,Misc,N/A,0.15m,0.10m,0.32m,0.08m,28th Oct 14
994,Wii Party U,WiiU,Nintendo,Party,6.6,0.30m,0.65m,0.84m,0.08m,25th Oct 13
309,Nintendogs + cats,3DS,Nintendo,Simulation,7.2,1.44m,1.65m,0.73m,0.29m,27th Mar 11
2397,Tobal No.1,PS,Sony Computer Entertainment,Fighting,7.7,0.12m,0.08m,0.66m,0.06m,30th Sep 96
1208,Star Wars Battlefront II (2017),XOne,Electronic Arts,Shooter,N/A,0.97m,0.50m,N/A,0.15m,17th Nov 17
1141,Far Cry 4,XOne,Ubisoft,Shooter,8.5,0.85m,0.68m,0.01m,0.14m,18th Nov 14
2776,Tom Clancy's Splinter Cell: Double Agent,X360,Ubisoft,Action,8.5,0.67m,0.04m,0.01m,0.06m,17th Oct 06
573,Hot Shots Golf,PS,Sony Computer Entertainment,Sports,N/A,0.29m,0.20m,2.13m,0.18m,05th May 98
1587,Fighting Force,PS,Eidos Interactive,Action,N/A,0.73m,0.50m,N/A,0.09m,31st Oct 97
2670,Professor Layton vs Ace Attorney,3DS,Nintendo,Adventure,N/A,0.20m,0.27m,0.30m,0.04m,29th Aug 14
1627,Watch Dogs,X360,Ubisoft,Action-Adventure,N/A,0.73m,0.44m,0.01m,0.11m,27th May 14
3768,Bolt,Wii,Disney Interactive Studios,Adventure,N/A,0.19m,0.31m,N/A,0.06m,18th Nov 08
232,The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,Role-Playing,N/A,1.30m,2.64m,0.28m,0.74m,19th May 15
2208,Ace Combat X: Skies of Deception,PSP,Namco Bandai,Simulation,7.6,0.37m,0.31m,0.12m,0.19m,23rd Oct 06
437,Gears of War 4,XOne,Microsoft Game Studios,Shooter,N/A,2.13m,0.89m,N/A,0.31m,11th Oct 16
550,Resident Evil VII: Biohazard,PS4,Capcom,Action,8.6,0.73m,1.35m,0.40m,0.39m,24th Jan 17
2796,ABBA: You Can Dance,Wii,Ubisoft,Misc,N/A,0.18m,0.50m,N/A,0.10m,15th Nov 11
2865,Marvel vs. Capcom 2,PS2,Capcom,Fighting,8.2,0.31m,0.24m,0.13m,0.08m,19th Nov 02
735,Dragon Quest Monsters,GB,Eidos Interactive,Role-Playing,N/A,N/A,N/A,2.34m,0.01m,31st Dec 99
75,Gran Turismo 2,PS,Sony Computer Entertainment,Racing,9.2,3.88m,3.42m,1.69m,0.50m,17th Jan 99
1075,Star Wars: Starfighter,PS2,LucasArts,Simulation,N/A,0.61m,0.87m,0.02m,0.26m,19th Feb 01
378,Resident Evil 4,PS2,Capcom,Action,9.6,2.08m,0.83m,0.46m,0.25m,25th Oct 05
3581,Spelling Challenges and more!,DS,Crave Entertainment,Misc,N/A,0.54m,0.00m,N/A,0.04m,24th Sep 07
3025,Jeremy McGrath Supercross 2000,PS,Acclaim Entertainment,Racing,N/A,0.40m,0.27m,N/A,0.05m,14th Jul 00
3296,Tomb Raider (2013),XOne,Square Enix,Misc,N/A,0.37m,0.22m,N/A,0.06m,28th Jan 14
2001,Madden NFL 2004,XB,EA Sports,Sports,N/A,1.02m,0.02m,N/A,0.05m,12th Aug 03
3473,Duke Nukem: Total Meltdown,PS,GT Interactive,Shooter,N/A,0.34m,0.23m,N/A,0.04m,30th Sep 97
1641,Imagine: Wedding Designer,DS,Ubisoft,Simulation,N/A,0.55m,0.59m,N/A,0.14m,04th Nov 08
2586,Sniper Elite V2,X360,505 Games,Shooter,7.0,0.46m,0.28m,0.02m,0.08m,01st May 12
1174,NBA Ballers,PS2,Midway Games,Sports,N/A,0.81m,0.63m,N/A,0.21m,05th Apr 04
488,Dragon Ball Z: Budokai,PS2,Atari,Fighting,N/A,2.17m,0.28m,0.55m,0.08m,03rd Dec 02
2576,Burnout Legends,PSP,Electronic Arts,Racing,8.4,0.70m,0.06m,N/A,0.09m,13th Sep 05
1462,Knockout Kings 2000,PS,EA Sports,Fighting,N/A,1.02m,0.34m,N/A,0.05m,31st Oct 99
211,Microsoft Flight Simulator,PC,Microsoft,Simulation,7.0,3.22m,1.69m,N/A,0.20m,31st Oct 96
1410,Sega Genesis Collection,PSP,Sega,Misc,8.3,0.53m,0.58m,N/A,0.34m,16th Nov 06
1763,Fuzion Frenzy,XB,Microsoft,Misc,N/A,0.93m,0.24m,N/A,0.04m,14th Nov 01
1744,Super Street Fighter IV: 3D Edition,3DS,Capcom,Fighting,8.5,0.55m,0.45m,0.14m,0.09m,27th Mar 11
3554,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,Konami,Sports,N/A,N/A,N/A,0.56m,0.04m,28th Aug 97
685,Final Fantasy Tactics,PS,Sony Computer Entertainment,Role-Playing,8.8,0.93m,0.12m,1.34m,0.06m,28th Jan 98
2659,Clu Clu Land,NES,Nintendo,Puzzle,N/A,0.42m,0.10m,0.28m,0.02m,18th Oct 85
1425,Smarty Pants,Wii,Electronic Arts,Misc,6.5,0.52m,0.75m,N/A,0.16m,13th Nov 07
2705,Who Wants to be a Millionaire,PS,Eidos Interactive,Misc,N/A,0.45m,0.30m,N/A,0.05m,29th Sep 00
548,Yokai Watch 2 Shinuchi,3DS,Level 5,Role-Playing,N/A,0.07m,0.11m,2.69m,0.02m,29th Sep 17
2175,Ninja Gaiden II,X360,Microsoft,Action,8.2,0.65m,0.22m,0.05m,0.10m,03rd Jun 08
2949,LEGO Jurassic World,XOne,Warner Bros. Interactive Entertainment,Action,N/A,0.43m,0.24m,N/A,0.07m,12th Jun 15
479,Need for Speed III: Hot Pursuit,PS,Electronic Arts,Racing,N/A,2.14m,0.86m,N/A,0.13m,25th Mar 98
722,WCW/nWo Revenge,N64,THQ,Fighting,N/A,1.94m,0.39m,0.03m,0.02m,26th Oct 98
3504,Ben 10: Alien Force,PSP,D3 Publisher,Action,5.2,0.36m,0.14m,N/A,0.11m,28th Oct 08
2884,We Sing,Wii,Nordic Games,Misc,N/A,N/A,0.68m,N/A,0.08m,13th Nov 09
161,Call of Duty: WWII,XOne,Activision,Shooter,N/A,3.50m,1.83m,N/A,0.53m,03rd Nov 17
791,Classic NES Series: Super Mario Bros.,GBA,Nintendo,Platform,8.3,0.61m,0.21m,1.39m,N/A,02nd Jun 04
467,Dragon Quest VI: Maboroshi no Daichi,SNES,Enix,Role-Playing,N/A,N/A,N/A,3.19m,0.00m,09th Dec 95
2380,NHL 98,PS,EA Sports,Sports,N/A,0.51m,0.35m,N/A,0.06m,31st Aug 97
2615,Madden NFL 25,XOne,EA Sports,Sports,7.1,0.69m,0.06m,N/A,0.09m,22nd Nov 13
720,Guitar Hero,PS2,RedOctane,Misc,8.0,1.67m,0.61m,0.03m,0.07m,07th Nov 05
3475,Major League Baseball 2K8,X360,2K Sports,Sports,N/A,0.56m,N/A,N/A,0.05m,03rd Mar 08
1307,Disney Fairies: Tinker Bell,DS,Disney Interactive Studios,Adventure,N/A,0.85m,0.51m,0.01m,0.15m,28th Oct 08
1371,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,Ubisoft,Action,9.2,0.82m,0.59m,N/A,0.07m,23rd Mar 04
2874,Final Fantasy Legend III,GB,Square,Role-Playing,7.0,N/A,N/A,0.76m,N/A,29th Sep 93
3273,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,GBA,Majesco,Misc,N/A,0.47m,0.17m,N/A,0.01m,25th Apr 05
1731,Kirby Tilt 'n' Tumble,GB,Nintendo,Puzzle,N/A,0.29m,0.17m,0.75m,0.02m,11th Apr 01
3342,Nightmare Creatures,PS,Activision,Action,N/A,0.35m,0.24m,N/A,0.04m,01st Oct 97
315,Fallout: New Vegas,X360,Bethesda Softworks,Role-Playing,8.2,2.67m,1.03m,0.04m,0.34m,19th Oct 10
2389,Far Cry 3,PC,Ubisoft,Shooter,N/A,0.22m,0.64m,N/A,0.06m,04th Dec 12
1375,Disney Princess,GBA,THQ,Platform,N/A,1.04m,0.37m,N/A,0.06m,04th Apr 03
2920,Yu-Gi-Oh! Dungeon Dice Monsters,GBA,Konami,Misc,N/A,0.42m,0.16m,0.15m,0.01m,12th Feb 03
1767,Bayonetta,PS3,Sega,Action,8.6,0.44m,0.40m,0.21m,0.16m,05th Jan 10
1397,Mass Effect 2,PS3,Electronic Arts,Role-Playing,9.3,0.78m,0.46m,0.03m,0.18m,18th Jan 11
3641,International Superstar Soccer '98,N64,Konami,Sports,9.1,0.06m,0.30m,0.19m,0.03m,15th Sep 98
2929,Jet Moto 3,PS,Sony Computer Entertainment,Racing,N/A,0.41m,0.28m,N/A,0.05m,31st Aug 99
88,Call of Duty: Infinite Warfare,PS4,Activision,Shooter,N/A,3.00m,3.65m,0.19m,1.31m,04th Nov 16
626,Midnight Club: Street Racing,PS2,Rockstar Games,Racing,N/A,2.00m,0.47m,0.02m,0.14m,25th Oct 00
1440,LEGO Batman 2: DC Super Heroes,Wii,Warner Bros. Interactive Entertainment,Action-Adventure,N/A,0.90m,0.40m,N/A,0.12m,26th Jun 12
3774,Manhunt 2,PS2,Rockstar Games,Action,N/A,0.27m,0.21m,N/A,0.07m,29th Oct 07
2799,Puzzler World,DS,Atari,Puzzle,N/A,0.41m,0.30m,N/A,0.07m,08th Dec 09
2332,Destroy All Humans!,PS2,THQ,Adventure,N/A,0.78m,0.03m,N/A,0.13m,21st Jun 05
1912,MechAssault,XB,Microsoft,Simulation,N/A,1.01m,0.10m,N/A,0.03m,11th Nov 02
843,PES 2009: Pro Evolution Soccer,PS3,Konami,Sports,7.7,0.11m,1.34m,0.40m,0.26m,11th Nov 08
536,Mass Effect,X360,Microsoft,Role-Playing,9.2,1.83m,0.79m,0.03m,0.27m,20th Nov 07
2287,NHL 2001,PS2,EA Sports,Sports,N/A,0.47m,0.37m,N/A,0.12m,25th Oct 00
3028,Silent Hill 3,PS2,Konami,Adventure,8.4,0.35m,0.27m,N/A,0.09m,06th Aug 03
593,Pokémon Stadium 2,N64,Nintendo,Strategy,7.9,1.02m,0.36m,1.13m,0.23m,28th Mar 01
773,Cool Boarders 2,PS,Sony Computer Entertainment,Sports,N/A,1.52m,0.46m,0.20m,0.08m,31st Oct 97
2453,Monster Strike 3DS,3DS,mixi  Inc,Action,N/A,N/A,N/A,0.89m,N/A,17th Dec 15
2907,Borderlands: The Pre-Sequel,X360,2K Games,Misc,N/A,0.48m,0.19m,0.01m,0.07m,14th Oct 14
3092,Injustice 2,XOne,Warner Bros. Interactive Entertainment,Fighting,N/A,0.47m,0.15m,N/A,0.07m,16th May 17
3677,Theme Park,PS,Electronic Arts,Strategy,N/A,0.24m,0.16m,0.13m,0.04m,01st Jan 95
2802,Caesars Palace 2000: Millennium Gold Edition,PS,Interplay,Misc,N/A,0.43m,0.29m,N/A,0.05m,29th Jun 00
1277,Mafia II,X360,2K Games,Action,7.2,0.85m,0.55m,N/A,0.15m,24th Aug 10
2885,Rockstar Games presents Table Tennis,X360,Rockstar Games,Sports,8.1,0.28m,0.38m,N/A,0.08m,22nd May 06
1602,LEGO Batman: The Videogame,PS3,Warner Bros. Interactive,Adventure,7.2,0.72m,0.39m,N/A,0.19m,23rd Sep 08
359,Mario & Sonic at the London 2012 Olympic Games,Wii,Sega,Sports,6.8,1.12m,1.90m,0.27m,0.43m,15th Nov 11
3588,WarioWare D.I.Y.,DS,Nintendo,Misc,8.3,0.17m,0.18m,0.20m,0.04m,28th Mar 10
336,Donkey Kong Land,GB,Nintendo,Platform,N/A,1.97m,0.76m,1.07m,0.11m,26th Jul 95
1461,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Namco Bandai Games,Fighting,N/A,0.60m,0.47m,0.12m,0.22m,09th Feb 16
3697,Madden NFL 06,GC,EA Sports,Sports,8.7,0.44m,0.11m,N/A,0.02m,08th Aug 05
1457,The Lion King,GEN,Virgin Interactive,Action,N/A,0.97m,0.37m,0.03m,0.05m,08th Dec 94
1115,Tetris Worlds,GBA,THQ,Puzzle,N/A,1.25m,0.39m,N/A,0.06m,05th Sep 01
2554,Madden Football 64,N64,EA Sports,Sports,N/A,0.81m,0.04m,N/A,0.01m,31st Oct 97
1848,Sonic the Hedgehog (2006),PS3,Sega,Platform,N/A,0.41m,0.06m,0.04m,0.66m,30th Jan 07
1477,Madden NFL 2002,PS,EA Sports,Sports,N/A,0.78m,0.53m,N/A,0.09m,13th Aug 01
1305,Knockout Kings,PS,EA Sports,Fighting,N/A,1.07m,0.39m,N/A,0.06m,31st Oct 98
2388,Knockout Kings 2000,N64,EA Sports,Fighting,N/A,0.63m,0.27m,N/A,0.02m,03rd Oct 99
3241,The Sims: Bustin' Out,GC,Electronic Arts,Simulation,7.9,0.43m,0.20m,N/A,0.03m,15th Dec 03
220,FIFA Soccer 11,PS3,EA Sports,Sports,8.7,0.61m,3.28m,0.06m,1.12m,28th Sep 10
3536,BeatMania Append 3rdMix,PS,Konami,Simulation,N/A,N/A,N/A,0.56m,0.04m,23rd Dec 98
1838,Romancing SaGa 2,SNES,Square,Role-Playing,N/A,N/A,N/A,1.17m,0.00m,10th Dec 93
1524,Metroid: Other M,Wii,Nintendo,Action,7.7,0.85m,0.28m,0.13m,0.10m,31st Aug 10
1891,Action Bass,PS,Take-Two Interactive,Action,5.1,0.64m,0.43m,N/A,0.07m,14th Jul 00
777,Dissidia: Final Fantasy,PSP,Square Enix,Fighting,8.1,0.51m,0.51m,0.91m,0.31m,25th Aug 09
1073,Kinect Star Wars,X360,Microsoft,Action,N/A,1.05m,0.53m,0.03m,0.15m,03rd Apr 12
2899,Tony Hawk's Underground 2,XB,Activision,Sports,N/A,0.48m,0.24m,N/A,0.03m,04th Oct 04
2359,Toy Story 2: Buzz Lightyear to the Rescue!,N64,Activision,Platform,N/A,0.71m,0.20m,N/A,0.01m,17th Nov 99
1960,Lumines: Puzzle Fusion,PSP,Ubisoft,Puzzle,9.1,0.52m,0.35m,N/A,0.23m,22nd Mar 05
343,Dragon Quest III,NES,Enix,Role-Playing,N/A,0.10m,N/A,3.77m,0.00m,01st Mar 92
1419,Sonic Rivals,PSP,Sega,Racing,7.0,0.73m,0.43m,N/A,0.28m,16th Nov 06
83,Halo 2,XB,Microsoft,Shooter,9.6,6.82m,1.53m,0.05m,0.08m,09th Nov 04
2296,South Park: The Stick of Truth,X360,Ubisoft,Role-Playing,N/A,0.60m,0.27m,N/A,0.09m,04th Mar 14
1659,WWE '12,X360,THQ,Fighting,7.5,0.74m,0.40m,0.00m,0.12m,22nd Nov 11
2180,Evolve,PS4,2K Games,Misc,N/A,0.38m,0.41m,0.05m,0.16m,10th Feb 15
2955,Final Fantasy XIII-2,X360,Square Enix,Role-Playing,N/A,0.36m,0.29m,0.02m,0.06m,31st Jan 12
1685,Far Cry 4,PS3,Ubisoft,Shooter,N/A,0.35m,0.63m,0.09m,0.19m,18th Nov 14
885,Tom Clancy's Splinter Cell: Conviction,X360,Ubisoft,Action,8.6,1.20m,0.62m,0.04m,0.19m,13th Apr 10
2308,SpongeBob SquarePants: Battle for Bikini Bottom,GC,THQ,Platform,7.3,0.74m,0.19m,N/A,0.03m,31st Oct 03
3754,Yu-Gi-Oh! World Championship Tournament 2004,GBA,Konami,Misc,N/A,0.40m,0.15m,N/A,0.01m,10th Feb 04
858,World of Warcraft: Cataclysm,PC,Blizzard Entertainment,MMO,9.0,1.77m,0.32m,N/A,N/A,07th Dec 10
297,Street Fighter IV,PS3,Capcom,Fighting,9.3,2.04m,1.05m,0.59m,0.52m,17th Feb 09
3511,Okami,Wii,Capcom,Adventure,9.0,0.43m,0.09m,0.04m,0.05m,15th Apr 08
1422,NCAA Football 2003,PS2,EA Sports,Sports,N/A,1.16m,0.08m,N/A,0.19m,20th Jul 02
2235,Army of Two: The 40th Day,X360,Electronic Arts,Shooter,7.1,0.65m,0.24m,0.00m,0.09m,12th Jan 10
1974,The Final Fantasy Legend,GB,Square,Role-Playing,6.0,N/A,N/A,1.10m,0.00m,01st Sep 90
1523,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Capcom,Fighting,8.2,0.81m,0.28m,0.11m,0.15m,15th Feb 11
1815,Mario vs. Donkey Kong 2: March of the Minis,DS,Nintendo,Puzzle,7.7,0.73m,0.03m,0.36m,0.07m,25th Sep 06
1102,Donkey Kong Country: Tropical Freeze,WiiU,Nintendo,Platform,8.8,0.74m,0.69m,0.16m,0.13m,21st Feb 14
1746,Star Wars Battlefront II,PSP,LucasArts,Shooter,6.9,1.05m,0.06m,0.01m,0.10m,01st Nov 05
621,Tom Clancy's Splinter Cell,PS2,Ubisoft,Action,N/A,1.15m,1.11m,N/A,0.40m,08th Apr 03
1152,SSX 3,PS2,EA Sports BIG,Sports,N/A,0.93m,0.52m,N/A,0.22m,20th Oct 03
1330,NBA Live 98,PS,EA Sports,Sports,N/A,1.41m,0.06m,N/A,0.04m,30th Nov 97
238,Halo 5: Guardians,XOne,Microsoft Game Studios,Shooter,7.9,2.91m,1.48m,0.03m,0.44m,27th Oct 15
3367,Assassin's Creed IV: Black Flag,PC,Ubisoft,Action-Adventure,8.5,0.24m,0.34m,N/A,0.05m,19th Nov 13
2759,Star Ocean: The Last Hope,X360,Square Enix,Role-Playing,7.3,0.32m,0.20m,0.21m,0.06m,24th Feb 09
2264,South Park: The Stick of Truth,PS3,Ubisoft,Role-Playing,N/A,0.44m,0.36m,N/A,0.16m,04th Mar 14
380,Assassin's Creed Syndicate,PS4,Ubisoft,Action,8.6,0.88m,2.10m,0.08m,0.55m,23rd Oct 15
1085,Dance Dance Revolution X,PS2,Konami,Simulation,N/A,0.85m,0.66m,0.01m,0.22m,12th Sep 08
2051,Spore Creatures,DS,Electronic Arts,Simulation,7.2,0.66m,0.30m,0.00m,0.10m,07th Sep 08
2699,The Next Tetris,PS,Atari,Puzzle,N/A,0.45m,0.31m,N/A,0.05m,31st May 99
946,Burnout Paradise,PS3,Electronic Arts,Racing,9.0,1.01m,0.63m,0.02m,0.28m,22nd Jan 08
616,WWE SmackDown! Shut Your Mouth,PS2,THQ,Fighting,N/A,1.32m,1.29m,0.04m,N/A,31st Oct 02
342,Sports Champions,PS3,Sony Computer Entertainment,Sports,7.6,2.14m,1.13m,0.10m,0.50m,17th Sep 10
3644,Borderlands: The Handsome Collection,XOne,2K Games,Shooter,N/A,0.39m,0.13m,N/A,0.06m,24th Mar 15
3381,NHL 2001,PS,EA Sports,Sports,N/A,0.35m,0.24m,N/A,0.04m,26th Sep 00
812,ATV Offroad Fury 2,PS2,Sony Computer Entertainment,Racing,8.7,1.92m,0.20m,N/A,0.06m,09th Nov 02
2563,FIFA Soccer 08,DS,EA Sports,Sports,N/A,0.10m,0.65m,N/A,0.11m,09th Oct 07
2115,WipEout Pure,PSP,Sony Computer Entertainment,Racing,9.1,0.47m,0.34m,N/A,0.23m,16th Mar 05
3457,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,THQ,Misc,N/A,0.44m,0.16m,N/A,0.01m,16th Nov 05
278,Resistance: Fall of Man,PS3,Sony Computer Entertainment,Shooter,8.5,1.74m,1.72m,0.14m,0.76m,14th Nov 06
2773,Doom,PS,GT Interactive,Shooter,N/A,0.43m,0.30m,N/A,0.05m,16th Nov 95
2369,Inazuma Eleven 3: Sekai e no Chousen!! Bomber / Spark,DS,Level 5,Role-Playing,N/A,N/A,N/A,0.93m,N/A,01st Jul 10
2312,Ben 10: Alien Force,DS,D3 Publisher,Action,N/A,0.65m,0.22m,N/A,0.09m,28th Oct 08
700,Pro Evolution Soccer 2011,PS3,Konami,Sports,6.0,0.29m,1.18m,0.54m,0.41m,05th Oct 10
3276,Tiger Woods PGA Tour 09,X360,EA Sports,Sports,N/A,0.35m,0.23m,N/A,0.07m,26th Aug 08
2025,FIFA Soccer 11,Wii,EA Sports,Sports,7.0,0.26m,0.69m,N/A,0.12m,28th Sep 10
140,Red Dead Redemption,X360,Rockstar Games,Action,9.5,3.73m,2.01m,0.09m,0.59m,18th May 10
1527,Mass Effect: Andromeda,PS4,Electronic Arts,Role-Playing,N/A,0.53m,0.60m,N/A,0.22m,21st Mar 17
3053,LEGO Batman 2: DC Super Heroes,DS,Warner Bros. Interactive Entertainment,Misc,N/A,0.39m,0.25m,N/A,0.06m,26th Jun 12
3481,Final Fantasy IV Advance,GBA,Square Enix,Role-Playing,8.6,0.27m,0.10m,0.22m,0.01m,12th Dec 05
2219,Midnight Club: LA Remix,PSP,Rockstar Games,Racing,7.7,0.52m,0.28m,N/A,0.19m,20th Oct 08
347,Flash Focus: Vision Training in Minutes a Day,DS,Nintendo,Misc,6.1,0.86m,1.56m,1.05m,0.35m,15th Oct 07
1834,Ty the Tasmanian Tiger,PS2,Electronic Arts,Platform,6.2,0.57m,0.45m,N/A,0.15m,10th Sep 02
2387,Balloon Fight,NES,Nintendo,Platform,N/A,0.39m,0.09m,0.43m,0.01m,01st Jun 86
3534,Transformers: The Game,X360,Activision,Action,5.2,0.51m,0.04m,N/A,0.05m,26th Jun 07
3797,Soldier of Fortune: Gold Edition,PS2,Majesco,Shooter,N/A,0.27m,0.21m,N/A,0.07m,11th Nov 01
2406,Knockout Kings 2002,PS2,EA Sports,Sports,N/A,0.45m,0.35m,N/A,0.12m,04th Mar 02
